Prix,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Puissance fiscale,Nombre de portes,Origine,Première main,État,equip_Jantes aluminium,equip_Caméra de recul,equip_ESP,equip_Régulateur de vitesse,equip_CD/MP3/Bluetooth,equip_Vitres électriques,equip_Aucun,equip_Radar de recul,equip_Ordinateur de bord,equip_Système de navigation/GPS,equip_ABS,equip_Limiteur de vitesse,equip_Airbags,equip_Verrouillage centralisé à distance,equip_Climatisation,equip_Sièges cuir,equip_Toit ouvrant,Carburant_encoded,Origine_Dédouanée,Origine_Importée neuve,Origine_Inconnue,Origine_Pas encore dédouanée,Origine_WW au Maroc,État_encoded
179000,2022,1,Diesel,92500,Dacia,Duster,6.0,5,WW au Maroc,1,Très bon,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
85000,2017,0,Essence,105000,Seat,Ibiza,6.0,5,Inconnue,0,Moyen,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0.18709133094283906,0.0,0.0,1.0,0.0,0.0,1
262000,2022,1,Diesel,42500,Peugeot,2008,6.0,5,WW au Maroc,1,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
117000,2016,0,Diesel,175000,Opel,Astra,8.0,5,WW au Maroc,0,Très bon,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
260000,2021,1,Diesel,145000,Volkswagen,Autres,8.0,5,WW au Maroc,0,Très bon,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
193000,2018,0,Diesel,52500,Jeep,Renegade,6.0,5,WW au Maroc,1,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
162000,2024,1,Essence,22500,Fiat,500,7.0,3,WW au Maroc,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18709133094283906,0.0,0.0,0.0,0.0,1.0,2
74000,2016,0,Diesel,7500,Dacia,Sandero,6.0,5,WW au Maroc,0,Très bon,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
150000,2009,0,Diesel,82500,Alfa Romeo,Autres,10.0,5,WW au Maroc,0,Très bon,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
264000,2019,1,Diesel,92500,Hyundai,Tucson,6.0,5,WW au Maroc,0,Neuf,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,3
109000,2012,0,Diesel,225000,Ford,Focus,6.0,5,WW au Maroc,0,Moyen,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,1
18000,2000,0,Essence,7500,Peugeot,205,9.0,5,Inconnue,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18709133094283906,0.0,0.0,1.0,0.0,0.0,2
109000,2015,0,Diesel,145000,Jeep,Autres,8.0,5,WW au Maroc,0,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
280000,2021,1,Diesel,92500,Audi,A3,8.0,5,WW au Maroc,1,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
193000,2021,1,Diesel,105000,Dacia,Duster,6.0,5,WW au Maroc,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
186000,2019,0,Diesel,115000,Ford,Kuga,6.0,5,WW au Maroc,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
83000,2001,0,Diesel,225000,Volkswagen,Golf 4,8.0,5,Dédouanée,0,Très bon,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0.7994797159530338,1.0,0.0,0.0,0.0,0.0,2
275000,2019,1,Diesel,97500,Autres,Autres,8.0,5,WW au Maroc,1,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
155000,2009,1,Diesel,275000,BMW,Série 5,8.0,5,WW au Maroc,0,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
138000,2013,1,Diesel,155000,Autres,Autres,8.0,5,Importée neuve,0,Moyen,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0.7994797159530338,0.0,1.0,0.0,0.0,0.0,1
50000,2005,0,Diesel,105000,Fiat,Autres,8.0,5,Dédouanée,1,Très bon,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.7994797159530338,1.0,0.0,0.0,0.0,0.0,2
248000,2022,1,Diesel,82500,Peugeot,3008,8.0,5,WW au Maroc,1,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
180000,2020,0,Diesel,115000,Volkswagen,Caddy,8.0,5,WW au Maroc,1,Moyen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,1
196000,2018,1,Diesel,135000,Ford,Kuga,8.0,5,WW au Maroc,0,Moyen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,1
155000,2022,0,Diesel,87500,Dacia,Sandero,6.0,5,WW au Maroc,0,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
